sample,0,1,2,3,4,5,6,7,8,9,0:0,0:1,0:2,0:3,1:0,1:1,1:2,1:3,2:0,2:1,3:0,3:1,3:2,target
18,0.1746575342465753,0.0443618687045736,0.3333333333333333,0.5,0.6884057971014492,0.2833333333333333,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.2428255183899418,0,1,0,0,1,0,0,0,1,0,0,1,0,0.0765171503957783
19,0.1541095890410959,0.0579354506999462,0.4444444444444444,0.5,0.9565217391304348,0.9,0.0648032885674931,0.1144578313253012,0.0315802680247579,0.2003424657534246,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1723371753923066
20,0.1678082191780822,0.0292598565051765,0.4444444444444444,0.625,0.6231884057971014,0.25,0.0648032885674931,0.0892983699503898,0.0315802680247579,0.2247431506849315,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1445632551034578
21,0.273972602739726,0.0603659819112388,0.7777777777777778,0.5,0.9637681159420288,0.9333333333333332,0.2375,0.0786037785307224,0.0315802680247579,0.4957191780821918,0,0,1,0,1,0,0,0,1,0,0,1,0,0.4032773225940841
23,0.184931506849315,0.039458739395639,0.7777777777777778,0.5,0.9420289855072465,0.8666666666666667,0.175625,0.0786037785307224,0.0315802680247579,0.7607020547945206,0,0,1,0,1,0,0,0,1,0,0,1,0,0.2709345924177198
26,0.3047945205479452,0.0604360933884877,0.7777777777777778,0.5,0.9782608695652174,0.95,0.4,0.0786037785307224,0.0315802680247579,0.6703767123287672,0,0,0,1,1,0,0,0,1,0,0,1,0,0.3074572975975559
27,0.1335616438356164,0.0275771810512047,0.4444444444444444,0.75,0.572463768115942,0.8333333333333334,0.0648032885674931,0.0414599574769666,0.3297150610583446,0.0770547945205479,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1387307318427996
28,0.2636986301369863,0.0475729743625698,0.7777777777777778,0.5,0.9782608695652174,0.9666666666666668,0.125,0.2158043940467753,0.0315802680247579,0.2080479452054794,0,0,0,1,1,0,0,0,1,0,0,1,0,0.3764754895153451
29,0.0890410958904109,0.0702096333169739,0.4444444444444444,0.625,0.6159420289855072,0.7833333333333333,0.0648032885674931,0.2262579730687455,0.0315802680247579,0.0886130136986301,0,1,0,0,1,0,0,0,1,0,0,1,0,0.2396889320927649
30,0.1335616438356164,0.0234826707798733,0.3333333333333333,0.625,0.3985507246376811,0.0,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.2226027397260274,0,1,0,0,0,1,0,0,1,0,0,1,0,0.0466601860852659
32,0.1679793094795433,0.0338591694126995,0.4444444444444444,0.625,0.6811594202898551,0.9333333333333332,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.5256849315068494,0,1,0,0,1,0,0,0,1,0,0,1,0,0.158936258852937
33,0.2191780821917808,0.0455677861132534,0.7777777777777778,0.5,0.9782608695652174,0.95,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.5282534246575342,0,1,0,0,1,0,0,0,1,0,0,1,0,0.2013609220941536
34,0.1678082191780822,0.0432447591670756,0.4444444444444444,0.5,0.6304347826086957,0.15,0.0648032885674931,0.1803685329553508,0.0315802680247579,0.1626712328767123,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1813636994861824
35,0.1335616438356164,0.0281053541798125,0.8888888888888888,0.5,0.9637681159420288,0.9166666666666666,0.15375,0.2042877391920623,0.0315802680247579,0.1746575342465753,0,0,1,0,1,0,0,0,1,0,0,1,0,0.3368976531037356
36,0.2979452054794521,0.0566407254200846,0.7777777777777778,0.5,0.9565217391304348,0.9166666666666666,0.0825,0.0786037785307224,0.0315802680247579,0.4781678082191781,0,0,0,1,1,0,0,0,1,0,0,1,0,0.3806415775586724
37,0.3116438356164384,0.0446797074014349,0.4444444444444444,0.5,0.8840579710144928,0.75,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.4696061643835616,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1528954311901124
38,0.1815068493150685,0.0338030802309004,0.4444444444444444,0.625,0.5942028985507246,0.6666666666666666,0.40625,0.2149184975194897,0.0315802680247579,0.035958904109589,0,0,1,0,1,0,0,0,1,0,0,1,0,0.164004999305652
39,0.160958904109589,0.0309518801561148,0.4444444444444444,0.75,0.5869565217391305,0.95,0.0648032885674931,0.1295180722891566,0.0315802680247579,0.1395547945205479,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1029023746701846
40,0.1506849315068493,0.0221552268106289,0.3333333333333333,0.5,0.6014492753623188,0.0833333333333333,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.2428255183899418,0,1,0,0,1,0,0,0,1,0,0,1,0,0.0654075822802388
44,0.1679793094795433,0.0369253780177148,0.4444444444444444,0.625,0.7463768115942029,0.5,0.0648032885674931,0.0496102055279943,0.3331071913161465,0.0714897260273972,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1324121649770865
45,0.1678082191780822,0.0310593844212297,0.4444444444444444,0.625,0.6304347826086957,0.15,0.0648032885674931,0.0317150956768249,0.3432835820895522,0.1990582191780822,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1473406471323427
46,0.136986301369863,0.0297179181565355,0.8888888888888888,0.5,0.9637681159420288,0.9166666666666666,0.2575,0.0807937632884479,0.0315802680247579,0.5547945205479452,0,0,1,0,1,0,0,0,1,0,0,1,0,0.3957783641160949
47,0.0924657534246575,0.0538549627240646,0.6666666666666666,0.5,0.9492753623188406,0.8833333333333333,0.0648032885674931,0.2393692416725726,0.0315802680247579,0.0355308219178082,0,1,0,0,1,0,0,0,1,0,0,1,0,0.2843855020136092
48,0.2157534246575342,0.0457874687419663,0.7777777777777778,0.5,0.9710144927536232,0.9333333333333332,0.0648032885674931,0.0042523033309709,0.0315802680247579,0.6986301369863014,0,1,0,0,0,0,0,1,1,0,0,1,0,0.2982919039022358
49,0.0410958904109589,0.0147514548131529,0.3333333333333333,0.5,0.3478260869565217,0.9666666666666668,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.3150684931506849,0,1,0,0,0,1,0,0,1,0,0,1,0,0.1084571587279544
50,0.1541095890410959,0.0301105424291289,0.4444444444444444,0.75,0.6811594202898551,0.2666666666666666,0.0648032885674931,0.1351878100637845,0.0315802680247579,0.0821917808219178,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1278989029301485
51,0.1679793094795433,0.0587487438360326,0.5555555555555556,0.625,0.9057971014492754,0.7833333333333333,0.0648032885674931,0.0322466335931963,0.0315802680247579,0.261986301369863,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1973337036522705
52,0.1061643835616438,0.0230900465072799,0.5555555555555556,0.625,0.4492753623188406,0.0,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.3493150684931507,0,1,0,0,0,1,0,0,1,0,0,1,0,0.1105402027496181
56,0.2705479452054795,0.0414826240388885,0.5555555555555556,0.5,0.6666666666666666,0.2333333333333333,0.17,0.08681785967399,0.0315802680247579,0.4002568493150685,0,0,1,0,1,0,0,0,1,0,0,1,0,0.202194139702819
57,0.0102739726027397,0.006286662459978,0.7777777777777778,0.5,0.9202898550724636,0.8333333333333334,0.285,0.1149893692416725,0.0315802680247579,0.1374143835616438,0,0,1,0,0,0,0,1,0,1,0,1,0,0.1910845715872795
58,0.2328767123287671,0.0483535488092734,0.6666666666666666,0.5,0.9565217391304348,0.9,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.3681506849315068,0,1,0,0,1,0,0,0,1,0,0,1,0,0.224413275933898
59,0.1541095890410959,0.0578746874196639,1.0,0.5,0.9710144927536232,0.9333333333333332,0.644375,0.0786037785307224,0.0315802680247579,0.603595890410959,0,0,1,0,1,0,0,0,1,0,0,0,1,0.560866546313012
60,0.1335616438356164,0.0275771810512047,0.4444444444444444,0.75,0.7246376811594203,0.3666666666666666,0.0648032885674931,0.1119773210489014,0.0315802680247579,0.0633561643835616,0,1,0,0,1,0,0,0,1,0,1,0,0,0.1249826412998194
61,0.1438356164383561,0.0550234873448783,0.5555555555555556,0.5,0.9565217391304348,0.9,0.0648032885674931,0.1667257264351523,0.0315802680247579,0.0928938356164383,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1709484793778642
62,0.1335616438356164,0.0275771810512047,0.4444444444444444,0.75,0.3478260869565217,0.7666666666666667,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.2268835616438356,0,1,0,0,0,1,0,0,1,0,0,1,0,0.0917928065546451
63,0.0787671232876712,0.0240342144008974,0.7777777777777778,0.5,0.9710144927536232,0.9333333333333332,0.11125,0.0042523033309709,0.0315802680247579,0.5761986301369864,0,0,0,1,1,0,0,0,1,0,0,1,0,0.2327454520205527
64,0.0993150684931506,0.0420668863492953,0.6666666666666666,0.625,0.3550724637681159,0.0,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.2465753424657534,0,1,0,0,0,1,0,0,1,0,1,0,0,0.1459519511179003
65,0.1679793094795433,0.0377433452522844,0.6666666666666666,0.5,0.9057971014492754,0.8,0.358125,0.1309355067328136,0.0315802680247579,0.1361301369863013,0,0,1,0,1,0,0,0,1,0,0,1,0,0.2563532842660742
66,0.1883561643835616,0.0387529505246675,0.7777777777777778,0.5,0.9565217391304348,0.9166666666666666,0.215,0.0786037785307224,0.0315802680247579,0.4892979452054795,0,0,1,0,1,0,0,0,1,0,0,1,0,0.3917511456742119
67,0.1679793094795433,0.0869382317885437,0.6666666666666666,0.5,0.7101449275362319,0.65,0.179375,0.1615875265768958,0.0315802680247579,0.4430650684931507,0,0,1,0,1,0,0,0,1,0,0,1,0,0.2014997916955978
68,0.1746575342465753,0.0437729322956834,0.6666666666666666,0.5,0.9492753623188406,0.8833333333333333,0.104375,0.1794826364280652,0.0315802680247579,0.1883561643835616,0,0,1,0,1,0,0,0,1,0,0,1,0,0.26537980835995
69,0.0890410958904109,0.0154619177826076,0.3333333333333333,0.625,0.5289855072463768,0.0,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.319777397260274,0,1,0,0,0,1,0,0,1,0,0,1,0,0.0626301902513539
71,0.2534246575342466,0.057729790366683,0.6666666666666666,0.625,0.7318840579710145,0.3833333333333333,0.696875,0.3330970942593905,0.0315802680247579,0.1468321917808219,0,0,1,0,1,0,0,0,1,0,0,1,0,0.2903763366199139
72,0.1643835616438356,0.0294421463460235,0.3333333333333333,0.625,0.7971014492753623,0.9333333333333332,0.0648032885674931,0.1001063075832742,0.0315802680247579,0.1198630136986301,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1313706429662547
73,0.1815068493150685,0.0413237046904578,0.6666666666666666,0.5,0.9130434782608696,0.8,0.025,0.0786037785307224,0.0315802680247579,0.3561643835616438,0,0,1,0,1,0,0,0,1,0,0,1,0,0.20844327176781
77,0.1679793094795433,0.0335366566173549,0.3333333333333333,0.75,0.6086956521739131,0.1,0.0648032885674931,0.0403968816442239,0.0315802680247579,0.3099315068493151,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1400499930565199
78,0.0993150684931506,0.0342845123746757,0.4444444444444444,0.5,0.5507246376811594,0.85,0.0648032885674931,0.0595322466335931,0.0278154681139755,0.1262842465753424,0,1,0,0,0,1,0,0,1,0,0,1,0,0.1278989029301485
79,0.1746575342465753,0.0443011054242912,0.3333333333333333,0.5,0.6956521739130435,0.3,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.7568493150684932,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1410915150673517
81,0.2705479452054795,0.0546869522540839,0.5555555555555556,0.625,0.6956521739130435,0.3,0.36,0.0793763288447909,0.0315802680247579,0.1917808219178082,0,0,1,0,1,0,0,0,1,0,0,1,0,0.2202471878905707
82,0.0376712328767123,0.0149571151464161,0.5555555555555556,0.5,0.9130434782608696,0.8,0.276875,0.2127923458540042,0.0315802680247579,0.0154109589041095,0,0,1,0,0,1,0,0,1,0,0,1,0,0.1646993473128732
83,0.1952054794520548,0.0416275210918694,0.7777777777777778,0.5,0.9782608695652174,0.95,0.2925,0.005846917080085,0.0315802680247579,0.6549657534246576,0,0,0,1,1,0,0,0,1,0,0,1,0,0.2917650326343563
85,0.1679793094795433,0.0337937320339339,0.6666666666666666,0.5,0.8913043478260869,0.7666666666666667,0.01375,0.0786037785307224,0.0315802680247579,0.1643835616438356,0,0,1,0,1,0,0,0,1,0,0,1,0,0.1855297875295098
86,0.3424657534246575,0.0689850195143611,0.7777777777777778,0.5,0.8623188405797102,0.7,0.1775,0.0786037785307224,0.0315802680247579,0.5513698630136986,0,0,1,0,1,0,0,0,1,0,0,1,0,0.3125954728509929
87,0.3458904109589041,0.0495968590058192,0.5555555555555556,0.5,0.9637681159420288,0.9166666666666666,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.2928082191780822,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1931676156089432
88,0.0650684931506849,0.0123910350791091,0.5555555555555556,0.5,0.9927536231884058,0.9833333333333332,0.0475,0.0786037785307224,0.0315802680247579,0.261986301369863,0,0,0,1,0,0,0,1,0,1,0,1,0,0.17997500347174
90,0.1335616438356164,0.0316436467316366,0.3333333333333333,0.5,0.8840579710144928,0.75,0.0648032885674931,0.1041814316087881,0.0315802680247579,0.1720890410958904,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1231773364810443
91,0.1335616438356164,0.0275771810512047,0.3333333333333333,0.5,0.5652173913043478,0.0,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.2428255183899418,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1041522010831828
95,0.1643835616438356,0.0375657295099207,0.5555555555555556,0.5,0.9057971014492754,0.7833333333333333,0.0648032885674931,0.1148121899362154,0.0315802680247579,0.0753424657534246,0,1,0,0,1,0,0,0,1,0,0,1,0,0.2358700180530482
96,0.1679793094795433,0.0395662436607539,0.5555555555555556,0.875,0.8768115942028986,0.7166666666666667,0.0425,0.054925584691708,0.0315802680247579,0.1583904109589041,0,0,1,0,1,0,0,0,1,0,0,1,0,0.20844327176781
97,0.1952054794520548,0.0418986188038982,0.6666666666666666,0.5,0.9202898550724636,0.8166666666666667,0.114375,0.2058823529411764,0.0315802680247579,0.1823630136986301,0,0,1,0,1,0,0,0,1,0,0,1,0,0.2487154561866407
98,0.1780821917808219,0.0449695015073967,0.3333333333333333,0.5,0.6739130434782609,0.25,0.03,0.0921332388377037,0.0315802680247579,0.1883561643835616,0,0,1,0,1,0,0,0,1,0,0,0,1,0.0831134564643799
99,0.2191780821917808,0.0435859683563532,0.4444444444444444,0.5,0.3478260869565217,0.0,0.0648032885674931,0.0191353649893692,0.0315802680247579,0.1498287671232876,0,1,0,0,1,0,0,0,1,0,0,1,0,0.0667962782946813
100,0.1917808219178082,0.0374862698357054,0.3333333333333333,0.5,0.6304347826086957,0.15,0.0648032885674931,0.1008150248051027,0.0315802680247579,0.1630993150684931,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1306068601583113
101,0.1679793094795433,0.0434831381897216,0.5555555555555556,0.75,0.7608695652173914,0.85,0.0175,0.2126151665485471,0.0315802680247579,0.175513698630137,0,0,1,0,1,0,0,0,1,0,0,1,0,0.2362171920566588
102,0.1917808219178082,0.0369534226086143,0.5555555555555556,0.5,0.8188405797101449,0.5833333333333334,0.21,0.0786037785307224,0.0315802680247579,0.317208904109589,0,0,1,0,1,0,0,0,1,0,0,1,0,0.1987223996667129
103,0.1472602739726027,0.0267264951272523,0.4444444444444444,0.5,0.7753623188405797,0.4833333333333333,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.2428255183899418,0,1,0,0,1,0,0,0,1,0,1,0,0,0.1167393417580891
104,0.25,0.0425436443945873,0.6666666666666666,0.5,0.9927536231884058,0.9833333333333332,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.5248287671232876,0,1,0,0,1,0,0,0,1,0,0,1,0,0.2277461463685599
105,0.1679793094795433,0.030185328004861,0.6666666666666666,0.375,0.427536231884058,0.0,0.375,0.0396881644223954,0.0315802680247579,0.3493150684931507,0,0,1,0,0,1,0,0,1,0,0,1,0,0.1869184835439522
106,0.184931506849315,0.0377433452522844,0.7777777777777778,0.5,0.9492753623188406,0.9,0.48,0.0786037785307224,0.0315802680247579,0.4507705479452055,0,0,1,0,0,0,0,1,1,0,0,1,0,0.2987085127065685
108,0.0993150684931506,0.0219682628712987,0.4444444444444444,0.5,0.5507246376811594,0.0,0.0648032885674931,0.0184266477675407,0.1146540027137042,0.2208904109589041,0,1,0,0,0,1,0,0,1,0,0,1,0,0.1112345507568393
110,0.2876712328767123,0.0488490032484984,0.5555555555555556,0.625,0.7608695652173914,0.45,0.3,0.1249114103472714,0.0315802680247579,0.4875856164383562,0,0,1,0,1,0,0,0,1,0,0,1,0,0.2153867518400222
111,0.184931506849315,0.0384444600247727,0.5555555555555556,0.375,0.5942028985507246,0.3666666666666666,0.0648032885674931,0.0786676116229624,0.0315802680247579,0.235445205479452,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1416469934731287
112,0.1679793094795433,0.030147935216995,0.6666666666666666,0.5,0.927536231884058,0.8333333333333334,0.0648032885674931,0.0442948263642806,0.0315802680247579,0.0573630136986301,0,1,0,0,1,0,0,0,1,0,0,1,0,0.2014997916955978
113,0.1917808219178082,0.0405010633574049,0.6666666666666666,0.5,0.9782608695652174,0.95,0.1375,0.1743444365698086,0.0315802680247579,0.1198630136986301,0,0,0,1,1,0,0,0,1,0,0,1,0,0.484752117761422
114,0.1679793094795433,0.0920797401201243,0.5555555555555556,0.5,0.5869565217391305,0.05,0.115,0.0062012756909992,0.5895522388059702,0.3874143835616438,0,0,1,0,1,0,0,0,1,0,1,0,0,0.252881544229968
116,0.0445205479452054,0.0090210100726822,0.5555555555555556,0.5,0.9202898550724636,0.8166666666666667,0.705625,0.0742381289865343,0.0315802680247579,0.1327054794520548,0,0,1,0,0,0,0,1,0,1,0,1,0,0.195945007637828
117,0.1679793094795433,0.048217999953259,0.4444444444444444,0.5,0.6521739130434783,0.2,0.0725,0.0301204819277108,0.4545454545454545,0.1078767123287671,0,0,1,0,1,0,0,0,1,0,0,1,0,0.1445632551034578
118,0.1815068493150685,0.0338217766248334,0.4444444444444444,0.5,0.9710144927536232,0.95,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.4815924657534247,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1667823913345368
119,0.2363013698630137,0.0517703148005328,0.6666666666666666,0.5,0.855072463768116,0.6666666666666666,0.0648032885674931,0.2604535790219702,0.0315802680247579,0.0869006849315068,0,1,0,0,1,0,0,0,1,0,0,1,0,0.3959172337175392
120,0.1506849315068493,0.0334712192385893,0.5555555555555556,0.5,0.9637681159420288,0.9333333333333332,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.3116438356164384,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1792667685043744
122,0.0993150684931506,0.022248708780294,0.3333333333333333,0.5,0.4855072463768116,0.0,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.3133561643835616,0,1,0,0,0,1,0,0,1,0,0,1,0,0.0904041105402027
123,0.184931506849315,0.0381593400172941,0.5555555555555556,0.75,0.6231884057971014,0.1333333333333333,0.084375,0.1009922041105598,0.0315802680247579,0.2183219178082192,0,0,1,0,1,0,0,0,1,0,0,1,0,0.1403971670601305
124,0.1164383561643835,0.0308116572016172,0.5555555555555556,0.5,0.8768115942028986,0.7166666666666667,0.0648032885674931,0.0531537916371367,0.0315802680247579,0.3848458904109589,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1652548257186502
125,0.0924657534246575,0.0735843324218841,0.5555555555555556,0.5,0.7753623188405797,0.8,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.5830479452054794,0,1,0,0,1,0,0,0,1,0,0,1,0,0.2028884877100402
126,0.1335616438356164,0.0256140596882376,0.5555555555555556,0.875,0.4565217391304347,0.5333333333333333,0.0648032885674931,0.08681785967399,0.0315802680247579,0.0128424657534246,0,1,0,0,0,1,0,0,1,0,0,1,0,0.0688793223163449
127,0.1679793094795433,0.0169576292972492,0.5555555555555556,0.5,0.7536231884057971,0.4333333333333333,0.0648032885674931,0.0212615166548547,0.0315802680247579,0.4101027397260274,0,1,0,0,1,0,0,0,1,0,0,1,0,0.129287598944591
128,0.1164383561643835,0.0144336161162915,0.4444444444444444,0.75,0.4202898550724637,0.0,0.0648032885674931,0.0205527994330262,0.0315802680247579,0.238013698630137,0,1,0,0,0,1,0,0,1,0,1,0,0,0.072351062352451
129,0.1643835616438356,0.0294000794596742,0.5555555555555556,0.5,0.6811594202898551,0.2666666666666666,0.16625,0.0907158043940467,0.0315802680247579,0.0633561643835616,0,0,1,0,1,0,0,0,1,0,0,1,0,0.1667823913345368
130,0.1643835616438356,0.0358643576620159,0.4444444444444444,0.75,0.6231884057971014,0.6833333333333333,0.053125,0.1004606661941885,0.0189959294436906,0.1767979452054794,0,0,1,0,1,0,0,0,1,0,0,1,0,0.1598389112623247
131,0.2294520547945205,0.06029587043399,0.6666666666666666,0.625,0.6811594202898551,0.2666666666666666,0.193125,0.0788447909284195,0.0315802680247579,0.2050513698630137,0,0,1,0,1,0,0,0,1,0,0,1,0,0.26537980835995
132,0.1679793094795433,0.051059851831078,0.5555555555555556,0.5,0.927536231884058,0.8333333333333334,0.025,0.1231396172927002,0.0315802680247579,0.1271404109589041,0,0,1,0,1,0,0,0,1,0,0,1,0,0.2903763366199139
133,0.184931506849315,0.0284559115660567,0.4444444444444444,0.625,0.6304347826086957,0.8666666666666667,0.0648032885674931,0.0717576187101346,0.0315802680247579,0.2816780821917808,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1608804332731565
135,0.1952054794520548,0.0422304797962093,0.4444444444444444,0.625,0.6956521739130435,0.7166666666666667,0.0648032885674931,0.1009922041105598,0.0315802680247579,0.3814212328767123,0,1,0,0,1,0,0,0,1,0,0,1,0,0.2014997916955978
136,0.2020547945205479,0.0425342961976208,0.6666666666666666,0.625,0.7101449275362319,0.3333333333333333,0.18,0.0786037785307224,0.0315802680247579,0.5582191780821918,0,0,1,0,1,0,0,0,1,0,0,1,0,0.1931676156089432
137,0.1679793094795433,0.0423239617658744,0.4444444444444444,0.5,0.6884057971014492,0.2833333333333333,0.1225,0.1231396172927002,0.0315802680247579,0.2221746575342466,0,0,1,0,1,0,0,0,1,0,0,1,0,0.1501180391612276
138,0.2089041095890411,0.0456659421814017,0.6666666666666666,0.5,0.8405797101449275,0.65,0.04375,0.0786037785307224,0.0315802680247579,0.8163527397260274,0,0,1,0,1,0,0,0,1,0,0,1,0,0.1890015275656159
139,0.1780821917808219,0.0362990488209586,0.7777777777777778,0.5,0.9202898550724636,0.8333333333333334,0.2,0.1183557760453579,0.0315802680247579,0.1438356164383561,0,0,1,0,1,0,0,0,1,0,0,1,0,0.2709345924177198
140,0.1506849315068493,0.0660263151744607,0.5555555555555556,0.5,0.9057971014492754,0.7833333333333333,0.0648032885674931,0.1454642097802976,0.0315802680247579,0.0458047945205479,0,1,0,0,1,0,0,0,1,0,0,1,0,0.2730176364393834
141,0.1678082191780822,0.0430017060459463,0.3333333333333333,0.5,0.717391304347826,0.35,0.0648032885674931,0.0765414599574769,0.0315802680247579,0.184931506849315,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1112345507568393
142,0.1952054794520548,0.0483535488092734,0.6666666666666666,0.5,0.9637681159420288,0.9166666666666666,0.0648032885674931,0.2303330970942594,0.0315802680247579,0.1857876712328767,0,1,0,0,1,0,0,0,1,0,0,1,0,0.3125954728509929
143,0.1712328767123287,0.0337469910491014,0.4444444444444444,0.375,0.5797101449275363,0.0333333333333333,0.0648032885674931,0.0898299078667611,0.0315802680247579,0.1725171232876712,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1820580474934037
144,0.1952054794520548,0.0422304797962093,0.6666666666666666,0.5,0.9202898550724636,0.8166666666666667,0.114375,0.1203047484053862,0.0315802680247579,0.3471746575342466,0,0,1,0,1,0,0,0,1,0,0,1,0,0.2348284960422163
