sample,1,2,1:1,1:2,1:3,1:4,1:5,2:1,2:2,2:3,2:4,2:5,target
21,0.7777777777777778,0.9333333333333332,0,0,0,1,0,0,0,1,0,0,0.4032773225940841
22,0.6666666666666666,0.0,0,0,0,1,0,0,0,1,0,0,0.1451187335092348
23,0.7777777777777778,0.8666666666666667,0,0,0,1,0,0,0,1,0,0,0.2709345924177198
24,0.4444444444444444,0.4333333333333333,0,0,0,1,0,0,0,0,0,0,0.1319261213720316
25,0.4444444444444444,0.85,0,0,0,0,0,0,0,0,0,0,0.1653936953200944
26,0.7777777777777778,0.95,0,0,0,1,0,0,0,1,0,0,0.3074572975975559
27,0.4444444444444444,0.8333333333333334,0,0,0,0,0,1,0,0,0,0,0.1387307318427996
28,0.7777777777777778,0.9666666666666668,0,0,0,1,0,0,0,1,0,0,0.3764754895153451
29,0.4444444444444444,0.7833333333333333,0,0,0,0,0,0,0,1,0,0,0.2396889320927649
30,0.3333333333333333,0.0,0,1,0,0,0,1,0,0,0,0,0.0466601860852659
31,0.3333333333333333,0.0,0,1,0,0,0,1,0,0,0,0,0.0070823496736564
32,0.4444444444444444,0.9333333333333332,0,0,0,0,0,1,0,0,0,0,0.158936258852937
33,0.7777777777777778,0.95,0,0,0,1,0,1,0,0,0,0,0.2013609220941536
34,0.4444444444444444,0.15,0,0,0,0,0,0,0,1,0,0,0.1813636994861824
35,0.8888888888888888,0.9166666666666666,0,0,0,1,0,0,0,1,0,0,0.3368976531037356
36,0.7777777777777778,0.9166666666666666,0,0,0,1,0,0,0,1,0,0,0.3806415775586724
37,0.4444444444444444,0.75,0,0,0,1,0,1,0,0,0,0,0.1528954311901124
38,0.4444444444444444,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0.164004999305652
39,0.4444444444444444,0.95,0,0,0,0,0,1,0,0,0,0,0.1029023746701846
40,0.3333333333333333,0.0833333333333333,0,0,0,1,0,1,0,0,0,0,0.0654075822802388
41,0.5555555555555556,0.25,0,0,0,0,0,0,0,0,0,0,0.173725871406749
42,0.4444444444444444,0.15,0,0,0,0,0,0,0,1,0,0,0.1876128315511734
43,0.4444444444444444,0.55,0,0,0,0,0,1,0,0,0,0,0.15150673517567
44,0.4444444444444444,0.5,0,0,0,0,0,1,0,0,0,0,0.1324121649770865
45,0.4444444444444444,0.15,0,0,0,0,0,1,0,0,0,0,0.1473406471323427
46,0.8888888888888888,0.9166666666666666,0,0,0,1,0,0,0,1,0,0,0.3957783641160949
47,0.6666666666666666,0.8833333333333333,0,0,0,1,0,0,0,0,1,0,0.2843855020136092
48,0.7777777777777778,0.9333333333333332,0,0,0,1,0,1,0,0,0,0,0.2982919039022358
49,0.3333333333333333,0.9666666666666668,0,1,0,0,0,1,0,0,0,0,0.1084571587279544
50,0.4444444444444444,0.2666666666666666,0,0,0,0,0,1,0,0,0,0,0.1278989029301485
51,0.5555555555555556,0.7833333333333333,0,0,0,1,0,1,0,0,0,0,0.1973337036522705
52,0.5555555555555556,0.0,0,0,0,1,0,0,0,1,0,0,0.1105402027496181
53,0.4444444444444444,0.2166666666666666,0,0,0,0,0,1,0,0,0,0,0.1042910706846271
54,0.8888888888888888,0.6166666666666667,0,0,0,0,0,0,0,1,0,0,0.4861824746562977
55,0.4444444444444444,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0.1320649909734759
56,0.5555555555555556,0.2333333333333333,0,0,0,0,0,0,0,1,0,0,0.202194139702819
57,0.7777777777777778,0.8333333333333334,0,0,0,1,0,1,0,0,0,0,0.1910845715872795
58,0.6666666666666666,0.9,0,0,0,1,0,1,0,0,0,0,0.224413275933898
59,1.0,0.9333333333333332,0,0,0,1,0,0,0,1,0,0,0.560866546313012
60,0.4444444444444444,0.3666666666666666,0,0,0,0,0,1,0,0,0,0,0.1249826412998194
61,0.5555555555555556,0.9,0,0,0,1,0,1,0,0,0,0,0.1709484793778642
62,0.4444444444444444,0.7666666666666667,0,1,0,0,0,1,0,0,0,0,0.0917928065546451
63,0.7777777777777778,0.9333333333333332,0,0,0,1,0,0,0,1,0,0,0.2327454520205527
64,0.6666666666666666,0.0,0,1,0,0,0,1,0,0,0,0,0.1459519511179003
65,0.6666666666666666,0.8,0,0,0,1,0,1,0,0,0,0,0.2563532842660742
66,0.7777777777777778,0.9166666666666666,0,0,0,1,0,0,0,1,0,0,0.3917511456742119
67,0.6666666666666666,0.65,0,0,0,0,0,0,0,1,0,0,0.2014997916955978
68,0.6666666666666666,0.8833333333333333,0,0,0,1,0,1,0,0,0,0,0.26537980835995
69,0.3333333333333333,0.0,0,0,0,0,0,1,0,0,0,0,0.0626301902513539
70,0.6666666666666666,0.05,0,0,0,0,0,0,0,0,0,0,0.2639911123455076
71,0.6666666666666666,0.3833333333333333,0,0,0,0,0,0,0,1,0,0,0.2903763366199139
72,0.3333333333333333,0.9333333333333332,0,0,0,0,0,1,0,0,0,0,0.1313706429662547
73,0.6666666666666666,0.8,0,0,0,1,0,0,0,0,0,0,0.20844327176781
74,0.4444444444444444,0.8833333333333333,0,0,0,0,0,1,0,0,0,0,0.1527565615886682
75,0.2222222222222222,0.0,0,0,0,0,0,1,0,0,0,0,0.1006804610470768
76,0.3333333333333333,0.3833333333333333,0,0,0,0,0,1,0,0,0,0,0.0779058464102208
77,0.3333333333333333,0.1,0,0,0,0,0,1,0,0,0,0,0.1400499930565199
78,0.4444444444444444,0.85,0,0,0,0,0,1,0,0,0,0,0.1278989029301485
79,0.3333333333333333,0.3,0,0,0,0,0,1,0,0,0,0,0.1410915150673517
80,0.4444444444444444,0.5166666666666667,0,0,0,1,0,1,0,0,0,0,0.1042910706846271
81,0.5555555555555556,0.3,0,0,0,0,0,0,0,1,0,0,0.2202471878905707
82,0.5555555555555556,0.8,0,0,0,1,0,1,0,0,0,0,0.1646993473128732
83,0.7777777777777778,0.95,0,0,0,1,0,0,0,1,0,0,0.2917650326343563
84,0.4444444444444444,0.1666666666666666,0,0,0,0,0,1,0,0,0,0,0.1272045549229273
85,0.6666666666666666,0.7666666666666667,0,0,0,1,0,0,0,0,0,0,0.1855297875295098
86,0.7777777777777778,0.7,0,0,0,0,0,0,0,0,0,0,0.3125954728509929
87,0.5555555555555556,0.9166666666666666,0,0,0,1,0,0,0,1,0,0,0.1931676156089432
88,0.5555555555555556,0.9833333333333332,0,0,0,1,0,1,0,0,0,0,0.17997500347174
89,0.2222222222222222,0.5333333333333333,0,0,0,0,0,1,0,0,0,0,0.0695736703235661
90,0.3333333333333333,0.75,0,0,0,1,0,1,0,0,0,0,0.1231773364810443
91,0.3333333333333333,0.0,0,0,1,0,0,1,0,0,0,0,0.1041522010831828
92,0.4444444444444444,0.1833333333333333,0,0,0,0,0,1,0,0,0,0,0.0884599361199833
93,0.4444444444444444,0.9333333333333332,0,1,0,0,0,1,0,0,0,0,0.1785863074572976
94,0.5555555555555556,0.8,0,1,0,0,0,0,0,1,0,0,0.1374809054298014
95,0.5555555555555556,0.7833333333333333,0,0,0,1,0,1,0,0,0,0,0.2358700180530482
96,0.5555555555555556,0.7166666666666667,0,0,0,1,0,0,0,0,0,0,0.20844327176781
97,0.6666666666666666,0.8166666666666667,0,0,0,1,0,1,0,0,0,0,0.2487154561866407
98,0.3333333333333333,0.25,0,0,0,0,0,1,0,0,0,0,0.0831134564643799
99,0.4444444444444444,0.0,0,1,0,0,0,1,0,0,0,0,0.0667962782946813
100,0.3333333333333333,0.15,0,0,0,0,0,1,0,0,0,0,0.1306068601583113
101,0.5555555555555556,0.85,0,0,0,1,0,0,0,0,0,0,0.2362171920566588
102,0.5555555555555556,0.5833333333333334,0,0,0,0,0,0,0,0,0,0,0.1987223996667129
103,0.4444444444444444,0.4833333333333333,0,0,1,0,0,1,0,0,0,0,0.1167393417580891
104,0.6666666666666666,0.9833333333333332,0,0,0,1,0,1,0,0,0,0,0.2277461463685599
105,0.6666666666666666,0.0,0,0,0,1,0,0,0,0,0,0,0.1869184835439522
106,0.7777777777777778,0.9,0,0,0,1,0,0,0,1,0,0,0.2987085127065685
107,0.3333333333333333,0.75,0,1,0,0,0,1,0,0,0,0,0.0904041105402027
108,0.4444444444444444,0.0,0,0,0,0,0,1,0,0,0,0,0.1112345507568393
109,0.4444444444444444,0.9166666666666666,0,0,0,0,0,1,0,0,0,0,0.1112345507568393
110,0.5555555555555556,0.45,0,0,0,0,0,0,0,0,0,0,0.2153867518400222
111,0.5555555555555556,0.3666666666666666,0,0,0,0,0,1,0,0,0,0,0.1416469934731287
112,0.6666666666666666,0.8333333333333334,0,0,0,1,0,0,0,0,0,0,0.2014997916955978
113,0.6666666666666666,0.95,0,0,0,1,0,0,0,1,0,0,0.484752117761422
114,0.5555555555555556,0.05,0,0,0,0,0,0,0,1,0,0,0.252881544229968
115,0.5555555555555556,0.8666666666666667,0,0,0,0,0,0,0,0,0,0,0.3119011248437717
116,0.5555555555555556,0.8166666666666667,0,0,0,1,0,0,1,0,0,0,0.195945007637828
117,0.4444444444444444,0.2,0,0,0,0,0,0,0,0,0,1,0.1445632551034578
118,0.4444444444444444,0.95,0,0,0,1,0,1,0,0,0,0,0.1667823913345368
119,0.6666666666666666,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0.3959172337175392
120,0.5555555555555556,0.9333333333333332,0,0,0,1,0,0,0,1,0,0,0.1792667685043744
121,0.5555555555555556,0.3166666666666666,0,0,0,0,0,0,0,0,0,0,0.2014997916955978
122,0.3333333333333333,0.0,0,0,0,1,0,1,0,0,0,0,0.0904041105402027
123,0.5555555555555556,0.1333333333333333,0,0,0,0,0,1,0,0,0,0,0.1403971670601305
124,0.5555555555555556,0.7166666666666667,0,0,0,1,0,1,0,0,0,0,0.1652548257186502
125,0.5555555555555556,0.8,0,0,0,0,0,0,0,0,0,0,0.2028884877100402
126,0.5555555555555556,0.5333333333333333,0,0,0,0,0,1,0,0,0,0,0.0688793223163449
127,0.5555555555555556,0.4333333333333333,0,0,0,0,0,0,0,0,0,0,0.129287598944591
128,0.4444444444444444,0.0,0,1,0,0,0,0,0,0,0,0,0.072351062352451
129,0.5555555555555556,0.2666666666666666,0,0,0,0,0,0,1,0,0,0,0.1667823913345368
130,0.4444444444444444,0.6833333333333333,0,0,0,0,0,1,0,0,0,0,0.1598389112623247
131,0.6666666666666666,0.2666666666666666,0,0,0,0,0,0,0,1,0,0,0.26537980835995
132,0.5555555555555556,0.8333333333333334,0,0,0,1,0,0,0,0,0,0,0.2903763366199139
133,0.4444444444444444,0.8666666666666667,0,0,0,0,0,1,0,0,0,0,0.1608804332731565
134,0.7777777777777778,0.8666666666666667,0,0,0,1,0,1,0,0,0,0,0.2570476322732953
135,0.4444444444444444,0.7166666666666667,0,0,0,0,0,0,0,0,0,0,0.2014997916955978
136,0.6666666666666666,0.3333333333333333,0,0,0,1,0,0,0,1,0,0,0.1931676156089432
137,0.4444444444444444,0.2833333333333333,0,0,0,0,0,0,1,0,0,0,0.1501180391612276
138,0.6666666666666666,0.65,0,0,0,0,0,1,0,0,0,0,0.1890015275656159
139,0.7777777777777778,0.8333333333333334,0,0,0,1,0,0,0,0,0,0,0.2709345924177198
140,0.5555555555555556,0.7833333333333333,0,0,0,1,0,1,0,0,0,0,0.2730176364393834
141,0.3333333333333333,0.35,0,0,0,0,0,0,0,0,0,1,0.1112345507568393
142,0.6666666666666666,0.9166666666666666,0,0,0,1,0,1,0,0,0,0,0.3125954728509929
143,0.4444444444444444,0.0333333333333333,0,0,0,0,0,1,0,0,0,0,0.1820580474934037
144,0.6666666666666666,0.8166666666666667,0,0,0,1,0,1,0,0,0,0,0.2348284960422163
145,0.4444444444444444,0.2166666666666666,0,0,0,0,0,1,0,0,0,0,0.1251215109012637
146,0.5555555555555556,0.9333333333333332,0,0,0,1,0,1,0,0,0,0,0.1320649909734759
147,0.4444444444444444,0.7166666666666667,0,1,0,0,0,1,0,0,0,0,0.0973475906124149
148,0.6666666666666666,0.85,0,0,0,1,0,0,0,1,0,0,0.2605193723094015
149,0.6666666666666666,0.9166666666666666,0,0,0,1,0,1,0,0,0,0,0.1473406471323427
150,0.4444444444444444,0.0,0,1,0,0,0,1,0,0,0,0,0.1112345507568393
151,0.4444444444444444,0.4166666666666667,0,0,0,0,0,1,0,0,0,0,0.1209554228579364
152,0.7777777777777778,0.9666666666666668,0,0,0,1,0,0,0,1,0,0,0.4686876822663519
153,0.5555555555555556,0.35,0,0,0,0,0,0,0,1,0,0,0.2153867518400222
154,0.5555555555555556,0.4166666666666667,0,0,0,0,0,0,0,1,0,0,0.2778780724899319
155,0.5555555555555556,0.0,0,1,0,0,0,1,0,0,0,0,0.1251215109012637
156,0.5555555555555556,0.0,0,1,0,0,0,1,0,0,0,0,0.0612414942369115
157,0.4444444444444444,0.0,0,0,0,0,0,1,0,0,0,0,0.1035967226774059
158,0.7777777777777778,1.0,0,0,0,1,0,0,0,1,0,0,0.325788084988196
159,0.6666666666666666,0.9166666666666666,0,0,0,1,0,0,0,1,0,0,0.3055131231773365
160,0.6666666666666666,0.9333333333333332,0,0,0,1,0,0,0,1,0,0,0.3959172337175392
161,0.5555555555555556,0.5666666666666667,0,0,0,1,0,1,0,0,0,0,0.1771976114428551
162,0.8888888888888888,0.9,0,0,0,1,0,0,0,1,0,0,0.5243716150534647
163,0.6666666666666666,0.9166666666666666,0,0,0,1,0,0,0,1,0,0,0.2570476322732953
164,0.3333333333333333,0.1,0,0,0,0,0,1,0,0,0,0,0.0948479377864185
165,0.5555555555555556,0.9,0,1,0,0,0,1,0,0,0,0,0.1626163032912095
166,0.4444444444444444,0.8166666666666667,0,1,0,0,0,1,0,0,0,0,0.1285932509373698
167,0.4444444444444444,0.7166666666666667,0,0,0,0,0,0,0,1,0,0,0.2153867518400222
168,0.7777777777777778,0.95,0,0,0,1,0,0,0,1,0,0,0.4037272601027635
169,0.6666666666666666,0.9,0,0,0,1,0,0,0,1,0,0,0.2063602277461463
170,0.7777777777777778,0.5166666666666667,0,0,0,0,0,0,0,0,0,0,0.2681572003888349
171,0.4444444444444444,0.0,0,0,0,0,0,1,0,0,0,0,0.1299819469518122
172,0.5555555555555556,0.1666666666666666,0,0,0,0,0,0,0,1,0,0,0.2501041522010832
173,0.6666666666666666,0.6166666666666667,0,0,0,1,0,0,0,0,0,0,0.2834328565477017
174,0.5555555555555556,0.1833333333333333,0,0,0,0,0,0,0,0,0,0,0.1778919594500763
175,0.5555555555555556,0.6,0,0,0,0,0,0,0,0,0,0,0.2070545757533675
176,0.5555555555555556,0.85,0,0,0,0,0,0,0,1,0,0,0.2889876406054714
177,0.5555555555555556,0.65,0,0,0,1,0,0,0,0,0,0,0.2445493681433134
178,0.4444444444444444,0.1333333333333333,0,0,0,0,0,0,0,1,0,0,0.1910845715872795
179,0.8888888888888888,0.9833333333333332,0,0,0,1,0,0,0,1,0,0,0.648433550895709
180,0.4444444444444444,0.9333333333333332,0,0,0,0,0,1,0,0,0,0,0.0904041105402027
181,0.5555555555555556,0.8333333333333334,0,0,0,1,0,0,0,0,0,0,0.1973337036522705
182,0.6666666666666666,0.0,0,1,0,0,0,0,0,1,0,0,0.2294125815858908
183,0.4444444444444444,0.9333333333333332,0,0,0,1,0,0,0,1,0,0,0.1181780308290515
184,0.6666666666666666,0.8833333333333333,0,0,0,1,0,1,0,0,0,0,0.2292737119844466
185,0.4444444444444444,0.6833333333333333,0,0,0,1,0,1,0,0,0,0,0.1278989029301485
186,1.0,0.7166666666666667,0,1,0,0,0,0,0,0,0,0,0.6111651159561172
187,0.6666666666666666,0.6833333333333333,0,0,0,1,0,1,0,0,0,0,0.1917789195945007
188,0.4444444444444444,0.6166666666666667,0,0,0,0,0,1,0,0,0,0,0.1390084710456881
189,0.4444444444444444,0.4833333333333333,0,0,0,0,0,0,0,0,0,0,0.1644729898625191
190,0.7777777777777778,0.8666666666666667,0,0,0,1,0,0,0,1,0,0,0.3487015692264963
191,0.7777777777777778,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0.388973753645327
192,0.6666666666666666,0.9,0,0,0,0,0,1,0,0,0,0,0.2070545757533675
193,0.6666666666666666,0.8166666666666667,0,0,0,1,0,1,0,0,0,0,0.2181641438689071
194,0.6666666666666666,0.9,0,0,0,1,0,1,0,0,0,0,0.1320649909734759
195,0.4444444444444444,0.3666666666666666,0,0,0,0,0,1,0,0,0,0,0.1278989029301485
196,0.5555555555555556,0.4333333333333333,0,0,0,0,0,0,0,0,0,0,0.157755867240661
197,0.6666666666666666,0.95,0,0,0,1,0,0,0,1,0,0,0.3846299125121511
198,0.7777777777777778,0.6666666666666666,0,0,0,1,0,0,0,0,1,0,0.2778780724899319
199,0.5555555555555556,0.0,0,0,0,0,0,1,0,0,0,0,0.0959588945979725
200,0.7777777777777778,0.9166666666666666,0,0,0,1,0,0,0,1,0,0,0.3332870434661852
201,0.3333333333333333,0.9,0,0,0,1,0,1,0,0,0,0,0.1459519511179003
202,0.5555555555555556,0.45,0,0,0,0,0,0,1,0,0,0,0.1896958755728371
203,0.5555555555555556,0.0,0,1,0,0,0,1,0,0,0,0,0.107068462713512
204,0.5555555555555556,0.9,0,0,0,1,0,0,0,1,0,0,0.1584502152478822
205,0.4444444444444444,0.0,0,0,0,0,0,1,0,0,0,0,0.1042910706846271
206,0.6666666666666666,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0.202194139702819
207,0.4444444444444444,0.2,0,0,0,0,0,0,0,0,0,0,0.1513678655742258
208,0.3333333333333333,0.1666666666666666,0,0,0,1,0,0,0,0,0,1,0.1473406471323427
209,0.6666666666666666,0.65,0,0,0,0,0,0,0,1,0,0,0.3362033050965143
210,0.5555555555555556,0.2333333333333333,0,0,0,0,0,1,0,0,0,0,0.1528954311901124
211,0.4444444444444444,0.0,0,0,0,0,0,1,0,0,0,0,0.0876267185113178
212,0.5555555555555556,0.9833333333333332,0,0,0,1,0,1,0,0,0,0,0.2098319677822524
213,0.6666666666666666,0.9833333333333332,0,0,0,1,0,0,0,0,0,0,0.3024274406332454
214,0.4444444444444444,0.75,0,0,0,1,0,1,0,0,0,0,0.1681710873489793
215,0.5555555555555556,0.45,0,0,0,0,0,1,0,0,0,0,0.1761560894320233
216,0.4444444444444444,0.7666666666666667,0,0,0,0,0,0,1,0,0,0,0.1382446882377447
217,0.6666666666666666,0.9,0,0,0,1,0,1,0,0,0,0,0.243160672128871
218,0.3333333333333333,0.0,0,0,0,0,0,1,0,0,0,0,0.1001249826412998
219,0.6666666666666666,0.9333333333333332,0,0,0,0,0,0,0,0,0,0,0.3841133175947785
220,0.6666666666666666,0.9333333333333332,0,0,0,1,0,1,0,0,0,0,0.1837800305513123
221,0.6666666666666666,0.9333333333333332,0,0,0,1,0,1,0,0,0,0,0.2360783224552145
222,0.5555555555555556,0.8666666666666667,0,0,0,1,0,0,0,0,0,0,0.2292737119844466
223,0.5555555555555556,0.4166666666666667,0,0,0,0,0,0,0,0,0,0,0.2013609220941536
224,0.3333333333333333,0.35,0,0,0,0,0,1,0,0,0,0,0.0862380224968754
225,1.0,0.8833333333333333,0,0,0,1,0,0,0,0,1,0,0.4879183446743508
226,0.4444444444444444,0.35,0,0,0,0,0,1,0,0,0,0,0.107068462713512
227,0.6666666666666666,0.75,0,0,0,1,0,0,0,0,0,0,0.3542563532842661
228,0.5555555555555556,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0.0987362866268573
229,0.4444444444444444,0.2833333333333333,0,0,0,0,0,0,1,0,0,0,0.1251215109012637
230,0.6666666666666666,0.9333333333333332,0,0,0,1,0,0,0,0,0,0,0.2188584918761283
231,0.5555555555555556,0.15,0,0,0,0,0,1,0,0,0,0,0.1570615192334398
232,0.7777777777777778,0.7666666666666667,0,0,0,1,0,0,0,0,0,0,0.5111790029162616
233,0.5555555555555556,0.3666666666666666,0,0,0,0,0,0,0,0,0,1,0.0827662824607693
234,0.4444444444444444,0.4333333333333333,0,0,0,0,0,1,0,0,0,0,0.1295653381474795
235,0.5555555555555556,0.8666666666666667,0,0,0,1,0,0,0,0,0,0,0.2521871962227468
236,0.5555555555555556,0.35,0,0,0,0,0,1,0,0,0,0,0.0758228023885571
237,0.6666666666666666,0.9,0,0,0,1,0,1,0,0,0,0,0.2091376197750312
238,0.6666666666666666,0.8833333333333333,0,0,0,1,0,1,0,0,0,0,0.2216358839050131
239,0.7777777777777778,0.95,0,0,0,1,0,1,0,0,0,0,0.3931398416886543
240,0.5555555555555556,0.0,0,0,0,0,0,0,0,1,0,0,0.1084571587279544
241,0.7777777777777778,0.9666666666666668,0,0,0,1,0,1,0,0,0,0,0.316067212887099
242,0.4444444444444444,0.7833333333333333,0,0,0,0,0,1,0,0,0,0,0.1049854186918483
243,0.4444444444444444,0.0,0,1,0,0,0,1,0,0,0,0,0.0612414942369115
244,0.5555555555555556,0.5,0,0,0,0,0,0,0,0,0,0,0.1181780308290515
245,0.6666666666666666,0.8666666666666667,0,0,0,1,0,0,1,0,0,0,0.2362171920566588
246,0.6666666666666666,0.6333333333333333,0,0,0,0,0,0,0,0,0,0,0.2869045965838078
247,0.5555555555555556,0.0,1,0,0,0,0,1,0,0,0,0,0.1417858630745729
248,0.5555555555555556,0.0666666666666666,0,0,0,0,0,0,0,0,0,0,0.1459519511179003
249,0.6666666666666666,0.8833333333333333,0,0,0,1,0,1,0,0,0,0,0.2014997916955978
250,0.5555555555555556,0.9333333333333332,0,0,0,0,0,0,0,0,0,0,0.3362033050965143
251,0.2222222222222222,0.2666666666666666,0,0,0,0,0,1,0,0,0,0,0.0577697542008054
252,0.7777777777777778,0.95,0,0,0,1,0,0,0,1,0,0,0.2778780724899319
253,0.5555555555555556,0.9,0,0,0,1,0,1,0,0,0,0,0.1917789195945007
254,0.5555555555555556,0.6833333333333333,0,0,0,0,0,1,0,0,0,0,0.1709484793778642
255,0.4444444444444444,0.1166666666666666,0,0,0,0,0,1,0,0,0,0,0.1528954311901124
256,0.6666666666666666,0.8166666666666667,0,0,0,1,0,0,0,0,0,0,0.2709345924177198
257,0.5555555555555556,0.8833333333333333,0,0,0,1,0,1,0,0,0,0,0.2396889320927649
258,0.6666666666666666,0.9333333333333332,0,0,0,1,0,0,0,1,0,0,0.2570476322732953
259,0.6666666666666666,0.85,0,0,0,1,0,0,0,0,0,0,0.2730176364393834
260,0.4444444444444444,0.1,0,0,0,1,0,1,0,0,0,0,0.0862380224968754
261,0.5555555555555556,0.2,0,0,0,0,0,0,0,0,0,0,0.195945007637828
262,0.7777777777777778,0.95,0,0,0,1,0,0,0,1,0,0,0.3348146090820719
263,0.5555555555555556,0.75,0,0,0,0,0,0,0,0,0,0,0.1612276072767671
264,0.4444444444444444,0.85,0,1,0,0,0,1,0,0,0,0,0.1320649909734759
265,0.4444444444444444,0.9,0,1,0,0,0,1,0,0,0,0,0.0529093181502569
266,0.5555555555555556,0.5166666666666667,0,0,0,0,0,0,0,0,0,0,0.1952506596306068
267,0.5555555555555556,0.7833333333333333,0,0,0,1,0,0,0,0,0,0,0.20844327176781
268,0.4444444444444444,0.7833333333333333,0,0,0,1,0,0,0,1,0,0,0.2008054436883766
269,0.4444444444444444,0.0833333333333333,0,0,0,0,0,0,0,1,0,0,0.1188723788362727
270,0.5555555555555556,0.4333333333333333,0,0,0,0,0,0,1,0,0,0,0.1570615192334398
271,0.7777777777777778,0.9333333333333332,0,0,0,1,0,0,0,1,0,0,0.3209276489376475
272,0.6666666666666666,0.9166666666666666,0,0,0,0,0,0,0,0,0,0,0.2869045965838078
273,0.7777777777777778,0.95,0,0,0,1,0,0,0,1,0,0,0.3542563532842661
274,0.5555555555555556,0.6333333333333333,0,0,0,0,0,0,0,1,0,0,0.1445632551034578
275,0.4444444444444444,0.5333333333333333,0,0,0,0,0,1,0,0,0,0,0.1244271628940425
276,0.6666666666666666,0.95,0,1,0,0,0,1,0,0,0,0,0.2362171920566588
277,0.6666666666666666,0.8833333333333333,0,0,0,1,0,1,0,0,0,0,0.230662407998889
278,0.3333333333333333,0.0166666666666666,0,0,0,0,0,1,0,0,0,0,0.1473406471323427
279,0.8888888888888888,0.95,0,0,0,1,0,0,0,0,1,0,0.5282571865018747
280,0.6666666666666666,0.45,0,0,0,0,0,0,0,0,0,0,0.2181641438689071
281,0.6666666666666666,0.65,0,0,0,0,0,0,0,0,0,0,0.2688515483960561
282,0.5555555555555556,0.9333333333333332,0,0,0,1,0,1,0,0,0,0,0.20844327176781
283,0.6666666666666666,0.9666666666666668,0,0,0,1,0,0,0,1,0,0,0.2396889320927649
284,0.7777777777777778,0.9833333333333332,0,0,0,1,0,0,0,1,0,0,0.2912095542285793
285,0.5555555555555556,0.7,0,0,0,1,0,1,0,0,0,0,0.2003888348840438
286,0.6666666666666666,0.95,0,0,0,1,0,1,0,0,0,0,0.1802527426746285
287,0.5555555555555556,0.5166666666666667,0,0,0,0,0,0,0,1,0,0,0.1723371753923066
288,0.3333333333333333,0.35,0,0,0,0,0,1,0,0,0,0,0.0737397583668934
289,0.4444444444444444,0.2833333333333333,0,0,0,0,0,1,0,0,0,0,0.1209554228579364
290,0.5555555555555556,0.8833333333333333,0,1,0,0,0,1,0,0,0,0,0.1648034995139564
291,0.7777777777777778,0.9333333333333332,0,0,0,1,0,0,0,1,0,0,0.2754200805443688
292,0.4444444444444444,0.8333333333333334,0,0,0,1,0,1,0,0,0,0,0.1402582974586863
293,0.4444444444444444,0.9666666666666668,0,0,0,0,0,0,0,1,0,0,0.1334536869879183
294,0.6666666666666666,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0.2778780724899319
295,0.5555555555555556,0.05,0,0,0,0,0,0,0,1,0,0,0.1834467435078461
296,0.5555555555555556,0.5666666666666667,0,0,0,0,0,1,0,0,0,0,0.1494236911540064
297,0.4444444444444444,0.0,0,0,0,0,0,1,0,0,0,0,0.1626163032912095
