sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,0:0,0:1,0:2,0:3,1:0,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,1:9,1:10,1:11,1:12,1:13,1:14,2:0,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,2:9,2:10,2:11,2:12,2:13,3:0,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8,3:9,3:10,3:11,3:12,3:13,4:0,4:1,4:2,4:3,4:4,5:0,5:1,5:2,5:3,5:4,5:5,5:6,5:7,5:8,5:9,5:10,5:11,5:12,5:13,5:14,5:15,5:16,5:17,5:18,5:19,5:20,5:21,5:22,5:23,6:0,6:1,6:2,6:3,7:0,7:1,7:2,7:3,7:4,7:5,7:6,7:7,8:0,8:1,8:2,8:3,8:4,8:5,9:0,9:1,9:2,target
11,0.1678082191780822,0.0462735749842249,0.4444444444444444,0.5,0.6739130434782609,0.25,0.0648032885674931,0.160524450744153,0.0315802680247579,0.0573630136986301,0.1702127659574468,0.1620009178522257,0.1680350923745397,0.0102176932656384,0.1330067822155237,0.3333333333333333,0.0287671232876712,0.3333333333333333,0.1914383561643835,0.375,0.3333333333333333,0.25,0.204337899543379,0.5909090909090909,0.25,0.2708039492242595,0.1099702690174389,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.0909090909090909,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1313706429662547
12,0.2191780821917808,0.0496576222861015,0.8888888888888888,0.5,0.9637681159420288,0.9333333333333332,0.17875,0.1768249468462083,0.0315802680247579,0.0757705479452054,0.1923076923076923,0.1945846718678292,0.5530266343825666,0.0102176932656384,0.3749058025621703,0.3333333333333333,0.0287671232876712,1.0,0.1914383561643835,0.5,0.3333333333333333,0.75,0.6666666666666666,0.9545454545454546,0.75,0.5190409026798307,0.1715285880980163,0.0383912248628884,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.5454545454545454,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.4306346340786002
13,0.1679793094795433,0.0545373811026198,0.4444444444444444,0.625,0.6521739130434783,0.2,0.0648032885674931,0.1305811481218993,0.0315802680247579,0.0749143835616438,0.1492635024549918,0.132629646626893,0.1680350923745397,0.0102176932656384,0.1088922381311228,0.3333333333333333,0.0287671232876712,0.3333333333333333,0.1914383561643835,0.25,0.3333333333333333,0.1666666666666666,0.204337899543379,0.5636363636363636,0.25,0.2482369534555712,0.1633605600933489,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.3666666666666666,0.0037383524520176,0.0028057445868316,0.7272727272727273,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.15150673517567
14,0.2397260273972602,0.0437121690154011,0.6666666666666666,0.5,0.9710144927536232,0.95,0.19125,0.0786037785307224,0.0315802680247579,0.639554794520548,0.2445171849427168,0.2661771454795777,0.1680350923745397,0.0102176932656384,0.2185380557648832,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.1914383561643835,0.375,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.9636363636363636,0.75,0.5923836389280677,0.1866977829638273,0.0603290676416819,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.6363636363636364,0.25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.3396750451326205
16,0.1027397260273972,0.0225291546892893,0.6666666666666666,0.875,0.4130434782608695,0.85,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.3561643835616438,0.1361702127659574,0.1193207893529141,0.1680350923745397,0.0102176932656384,0.0979653353428786,0.1417808219178082,0.0287671232876712,0.3333333333333333,0.1914383561643835,0.25,0.3333333333333333,0.25,0.204337899543379,0.8272727272727273,0.5,0.4062059238363892,0.0560093348891481,0.2047531992687385,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.5454545454545454,0.25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1348423830023608
17,0.1679793094795433,0.0464652130220383,0.5555555555555556,0.75,0.7101449275362319,0.3333333333333333,0.1125,0.1024096385542168,0.0315802680247579,0.1823630136986301,0.1643207855973813,0.1537402478201009,0.1680350923745397,0.0102176932656384,0.1262245666917859,0.3333333333333333,0.0287671232876712,0.3333333333333333,0.1914383561643835,0.25,0.3333333333333333,0.25,0.3333333333333333,0.6363636363636364,0.5,0.3385049365303244,0.1099702690174389,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0451612903225806,0.1818181818181818,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1584502152478822
18,0.1746575342465753,0.0443618687045736,0.3333333333333333,0.5,0.6884057971014492,0.2833333333333333,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.2428255183899418,0.1730653767683788,0.2207434603028912,0.1680350923745397,0.0102176932656384,0.1812358703843255,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.1914383561643835,0.25,0.6666666666666666,0.3333333333333333,0.204337899543379,0.6090909090909091,0.5,0.3638928067700987,0.1099702690174389,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.032258064516129,0.8181818181818182,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0765171503957783
19,0.1541095890410959,0.0579354506999462,0.4444444444444444,0.5,0.9565217391304348,0.9,0.0648032885674931,0.1144578313253012,0.0315802680247579,0.2003424657534246,0.1823240589198036,0.1789811840293712,0.1680350923745397,0.0102176932656384,0.146948003014318,0.3333333333333333,0.0287671232876712,0.3333333333333333,0.5,0.375,0.3333333333333333,0.3333333333333333,0.204337899543379,0.9454545454545454,0.5,0.4062059238363892,0.1099702690174389,0.186471663619744,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.4545454545454545,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1723371753923066
20,0.1678082191780822,0.0292598565051765,0.4444444444444444,0.625,0.6231884057971014,0.25,0.0648032885674931,0.0892983699503898,0.0315802680247579,0.2247431506849315,0.1684124386252045,0.2306103717301514,0.1680350923745397,0.0102176932656384,0.1893368500376789,0.1417808219178082,0.0287671232876712,0.3333333333333333,0.1914383561643835,0.375,0.3333333333333333,0.3333333333333333,0.204337899543379,0.5272727272727272,0.25,0.2073342736248237,0.1099702690174389,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.3636363636363636,0.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.1445632551034578
21,0.273972602739726,0.0603659819112388,0.7777777777777778,0.5,0.9637681159420288,0.9333333333333332,0.2375,0.0786037785307224,0.0315802680247579,0.4957191780821918,0.1895253682487725,0.1890775585130794,0.5898305084745763,0.0102176932656384,0.3847023360964581,0.1417808219178082,0.0287671232876712,1.0,0.5,0.5,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.9545454545454546,0.75,0.6015514809590973,0.2800466744457409,0.2815356489945155,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.9090909090909092,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.4032773225940841
23,0.184931506849315,0.039458739395639,0.7777777777777778,0.5,0.9420289855072465,0.8666666666666667,0.175625,0.0786037785307224,0.0315802680247579,0.7607020547945206,0.2908346972176759,0.3352455254703992,0.1680350923745397,0.0102176932656384,0.2752449133383572,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.1914383561643835,0.375,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.9272727272727272,0.5,0.3765867418899859,0.1995332555425904,0.2906764168190128,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.7272727272727273,0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2709345924177198
26,0.3047945205479452,0.0604360933884877,0.7777777777777778,0.5,0.9782608695652174,0.95,0.4,0.0786037785307224,0.0315802680247579,0.6703767123287672,0.2563011456628478,0.2905002294630564,0.1680350923745397,0.0102176932656384,0.2385079125847777,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.1914383561643835,0.375,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.9727272727272728,0.75,0.6276445698166432,0.1099702690174389,0.1023765996343692,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.5454545454545454,0.75,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.3074572975975559
27,0.1335616438356164,0.0275771810512047,0.4444444444444444,0.75,0.572463768115942,0.8333333333333334,0.0648032885674931,0.0414599574769666,0.3297150610583446,0.0770547945205479,0.1472995090016366,0.1298760899495181,0.1680350923745397,0.0102176932656384,0.1066314996232102,0.1417808219178082,0.5,0.3333333333333333,0.1914383561643835,0.375,0.3333333333333333,0.25,0.204337899543379,0.9545454545454546,0.5,0.4062059238363892,0.2590431738623104,0.0585009140767824,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.3636363636363636,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1387307318427996
28,0.2636986301369863,0.0475729743625698,0.7777777777777778,0.5,0.9782608695652174,0.9666666666666668,0.125,0.2158043940467753,0.0315802680247579,0.2080479452054794,0.278887070376432,0.3143643873336393,0.1680350923745397,0.0102176932656384,0.2581009796533534,0.3333333333333333,0.0287671232876712,0.6666666666666666,0.1914383561643835,0.375,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.9818181818181818,0.75,0.5444287729196051,0.1099702690174389,0.0914076782449725,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.3636363636363636,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.3764754895153451
29,0.0890410958904109,0.0702096333169739,0.4444444444444444,0.625,0.6159420289855072,0.7833333333333333,0.0648032885674931,0.2262579730687455,0.0315802680247579,0.0886130136986301,0.2428805237315875,0.2905002294630564,0.1680350923745397,0.0102176932656384,0.2385079125847777,0.3333333333333333,0.0287671232876712,0.3333333333333333,0.1914383561643835,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5181818181818182,0.25,0.2249647390691114,0.3360560093348891,0.4716636197440585,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2396889320927649
30,0.1335616438356164,0.0234826707798733,0.3333333333333333,0.625,0.3985507246376811,0.0,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.2226027397260274,0.0851063829787234,0.0426801284993116,0.1680350923745397,0.0102176932656384,0.035041446872645,0.1417808219178082,0.0287671232876712,0.3333333333333333,0.1914383561643835,0.125,0.3333333333333333,0.1666666666666666,0.204337899543379,0.1818181818181818,0.25,0.1692524682651622,0.0571761960326721,0.0853021462021988,0.1576086956521739,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.3636363636363636,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0466601860852659
