sample,3,6,18,12:1,12:2,12:3,12:4,12:5,11:1,11:2,11:3,11:4,11:5,20:1,20:2,20:3,20:4
40,0.3333333333333333,0.0833333333333333,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,0
41,0.5555555555555556,0.25,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,0.4444444444444444,0.15,0.3333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,1,0
43,0.4444444444444444,0.55,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0
44,0.4444444444444444,0.5,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,0.4444444444444444,0.15,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1
46,0.8888888888888888,0.9166666666666666,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
47,0.6666666666666666,0.8833333333333333,0.3333333333333333,0,0,0,1,0,0,0,0,1,0,0,0,0,1
48,0.7777777777777778,0.9333333333333332,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
49,0.3333333333333333,0.9666666666666668,0.6666666666666666,0,1,0,0,0,1,0,0,0,0,0,0,1,0
50,0.4444444444444444,0.2666666666666666,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1
51,0.5555555555555556,0.7833333333333333,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,1,0
52,0.5555555555555556,0.0,0.3333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,0
53,0.4444444444444444,0.2166666666666666,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,0.8888888888888888,0.6166666666666667,0.521689497716895,0,0,0,0,0,0,0,1,0,0,0,0,1,0
55,0.4444444444444444,0.0833333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0.5555555555555556,0.2333333333333333,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,1,0
57,0.7777777777777778,0.8333333333333334,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
58,0.6666666666666666,0.9,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
59,1.0,0.9333333333333332,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
60,0.4444444444444444,0.3666666666666666,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1
61,0.5555555555555556,0.9,0.3333333333333333,0,0,0,1,0,1,0,0,0,0,0,0,0,1
62,0.4444444444444444,0.7666666666666667,0.3333333333333333,0,1,0,0,0,1,0,0,0,0,0,0,0,0
63,0.7777777777777778,0.9333333333333332,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
64,0.6666666666666666,0.0,0.6666666666666666,0,1,0,0,0,1,0,0,0,0,0,0,1,0
65,0.6666666666666666,0.8,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
66,0.7777777777777778,0.9166666666666666,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
67,0.6666666666666666,0.65,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,0.6666666666666666,0.8833333333333333,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
69,0.3333333333333333,0.0,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,0.6666666666666666,0.05,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0.6666666666666666,0.3833333333333333,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,1
72,0.3333333333333333,0.9333333333333332,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
73,0.6666666666666666,0.8,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,1,0
74,0.4444444444444444,0.8833333333333333,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0
75,0.2222222222222222,0.0,0.6666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,1,0
76,0.3333333333333333,0.3833333333333333,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,0.3333333333333333,0.1,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1
78,0.4444444444444444,0.85,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,0.3333333333333333,0.3,0.6666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80,0.4444444444444444,0.5166666666666667,0.3333333333333333,0,0,0,1,0,1,0,0,0,0,0,0,1,0
81,0.5555555555555556,0.3,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,0.5555555555555556,0.8,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
83,0.7777777777777778,0.95,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
84,0.4444444444444444,0.1666666666666666,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0
85,0.6666666666666666,0.7666666666666667,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,1,0
86,0.7777777777777778,0.7,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,0.5555555555555556,0.9166666666666666,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
88,0.5555555555555556,0.9833333333333332,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
89,0.2222222222222222,0.5333333333333333,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,0.3333333333333333,0.75,0.3333333333333333,0,0,0,1,0,1,0,0,0,0,0,0,0,1
91,0.3333333333333333,0.0,0.3333333333333333,0,0,1,0,0,1,0,0,0,0,0,0,0,0
92,0.4444444444444444,0.1833333333333333,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
93,0.4444444444444444,0.9333333333333332,0.3333333333333333,0,1,0,0,0,1,0,0,0,0,0,0,0,1
94,0.5555555555555556,0.8,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1
95,0.5555555555555556,0.7833333333333333,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
96,0.5555555555555556,0.7166666666666667,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,1,0
97,0.6666666666666666,0.8166666666666667,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
98,0.3333333333333333,0.25,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,0.4444444444444444,0.0,0.3333333333333333,0,1,0,0,0,1,0,0,0,0,0,1,0,0
100,0.3333333333333333,0.15,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,1,0,0
101,0.5555555555555556,0.85,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,1,0
102,0.5555555555555556,0.5833333333333334,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0.4444444444444444,0.4833333333333333,0.6666666666666666,0,0,1,0,0,1,0,0,0,0,0,0,0,0
104,0.6666666666666666,0.9833333333333332,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
105,0.6666666666666666,0.0,0.3333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,1
106,0.7777777777777778,0.9,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
107,0.3333333333333333,0.75,0.3333333333333333,0,1,0,0,0,1,0,0,0,0,0,0,1,0
108,0.4444444444444444,0.0,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1
109,0.4444444444444444,0.9166666666666666,0.6666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110,0.5555555555555556,0.45,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,0.5555555555555556,0.3666666666666666,0.6666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,1,0
112,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,1
113,0.6666666666666666,0.95,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
114,0.5555555555555556,0.05,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0
115,0.5555555555555556,0.8666666666666667,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,0.5555555555555556,0.8166666666666667,0.6666666666666666,0,0,0,1,0,0,1,0,0,0,0,0,1,0
117,0.4444444444444444,0.2,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118,0.4444444444444444,0.95,0.3333333333333333,0,0,0,1,0,1,0,0,0,0,0,0,1,0
119,0.6666666666666666,0.6666666666666666,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
120,0.5555555555555556,0.9333333333333332,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
121,0.5555555555555556,0.3166666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,0.3333333333333333,0.0,0.3333333333333333,0,0,0,1,0,1,0,0,0,0,0,0,1,0
123,0.5555555555555556,0.1333333333333333,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0
124,0.5555555555555556,0.7166666666666667,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
125,0.5555555555555556,0.8,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0.5555555555555556,0.5333333333333333,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0
127,0.5555555555555556,0.4333333333333333,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0.4444444444444444,0.0,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,1
129,0.5555555555555556,0.2666666666666666,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130,0.4444444444444444,0.6833333333333333,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
131,0.6666666666666666,0.2666666666666666,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,1
132,0.5555555555555556,0.8333333333333334,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,1
133,0.4444444444444444,0.8666666666666667,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0
134,0.7777777777777778,0.8666666666666667,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
135,0.4444444444444444,0.7166666666666667,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,0.6666666666666666,0.3333333333333333,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,1,0
137,0.4444444444444444,0.2833333333333333,0.6666666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0
138,0.6666666666666666,0.65,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
139,0.7777777777777778,0.8333333333333334,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,1
140,0.5555555555555556,0.7833333333333333,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
141,0.3333333333333333,0.35,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0
142,0.6666666666666666,0.9166666666666666,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
143,0.4444444444444444,0.0333333333333333,0.6666666666666666,0,0,0,0,0,1,0,0,0,0,0,1,0,0
144,0.6666666666666666,0.8166666666666667,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
145,0.4444444444444444,0.2166666666666666,0.6666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,0
146,0.5555555555555556,0.9333333333333332,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
147,0.4444444444444444,0.7166666666666667,0.3333333333333333,0,1,0,0,0,1,0,0,0,0,0,0,0,0
148,0.6666666666666666,0.85,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
149,0.6666666666666666,0.9166666666666666,0.3333333333333333,0,0,0,1,0,1,0,0,0,0,0,0,0,1
150,0.4444444444444444,0.0,0.3333333333333333,0,1,0,0,0,1,0,0,0,0,0,0,1,0
151,0.4444444444444444,0.4166666666666667,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
152,0.7777777777777778,0.9666666666666668,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
153,0.5555555555555556,0.35,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,1,0
154,0.5555555555555556,0.4166666666666667,0.3333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,1,0
155,0.5555555555555556,0.0,0.3333333333333333,0,1,0,0,0,1,0,0,0,0,0,0,0,0
156,0.5555555555555556,0.0,0.3333333333333333,0,1,0,0,0,1,0,0,0,0,0,1,0,0
157,0.4444444444444444,0.0,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
158,0.7777777777777778,1.0,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
159,0.6666666666666666,0.9166666666666666,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
160,0.6666666666666666,0.9333333333333332,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
161,0.5555555555555556,0.5666666666666667,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,0
162,0.8888888888888888,0.9,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
163,0.6666666666666666,0.9166666666666666,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
164,0.3333333333333333,0.1,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1
165,0.5555555555555556,0.9,0.6666666666666666,0,1,0,0,0,1,0,0,0,0,0,0,1,0
166,0.4444444444444444,0.8166666666666667,0.6666666666666666,0,1,0,0,0,1,0,0,0,0,0,0,1,0
167,0.4444444444444444,0.7166666666666667,0.3333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,1
168,0.7777777777777778,0.95,0.3333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,1
169,0.6666666666666666,0.9,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
170,0.7777777777777778,0.5166666666666667,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0.4444444444444444,0.0,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
172,0.5555555555555556,0.1666666666666666,0.3333333333333333,0,0,0,0,0,0,0,1,0,0,0,1,0,0
173,0.6666666666666666,0.6166666666666667,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,1,0
174,0.5555555555555556,0.1833333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0.5555555555555556,0.6,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0.5555555555555556,0.85,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0
177,0.5555555555555556,0.65,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0
178,0.4444444444444444,0.1333333333333333,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,1
179,0.8888888888888888,0.9833333333333332,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
180,0.4444444444444444,0.9333333333333332,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
181,0.5555555555555556,0.8333333333333334,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,1
182,0.6666666666666666,0.0,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,1,0
183,0.4444444444444444,0.9333333333333332,0.3333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,1
184,0.6666666666666666,0.8833333333333333,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
185,0.4444444444444444,0.6833333333333333,0.3333333333333333,0,0,0,1,0,1,0,0,0,0,0,0,1,0
186,1.0,0.7166666666666667,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,1
187,0.6666666666666666,0.6833333333333333,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
188,0.4444444444444444,0.6166666666666667,0.6666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,1
189,0.4444444444444444,0.4833333333333333,0.521689497716895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0.7777777777777778,0.8666666666666667,0.3333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,1
191,0.7777777777777778,0.7333333333333333,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0.6666666666666666,0.9,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0
193,0.6666666666666666,0.8166666666666667,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
194,0.6666666666666666,0.9,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
195,0.4444444444444444,0.3666666666666666,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
196,0.5555555555555556,0.4333333333333333,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0.6666666666666666,0.95,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
198,0.7777777777777778,0.6666666666666666,0.6666666666666666,0,0,0,1,0,0,0,0,1,0,0,0,1,0
199,0.5555555555555556,0.0,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1
200,0.7777777777777778,0.9166666666666666,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
201,0.3333333333333333,0.9,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
202,0.5555555555555556,0.45,0.6666666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0
203,0.5555555555555556,0.0,0.6666666666666666,0,1,0,0,0,1,0,0,0,0,0,0,1,0
204,0.5555555555555556,0.9,0.3333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,1
205,0.4444444444444444,0.0,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
206,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
207,0.4444444444444444,0.2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,0.3333333333333333,0.1666666666666666,0.3333333333333333,0,0,0,1,0,0,0,0,0,1,0,0,0,0
209,0.6666666666666666,0.65,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,1
210,0.5555555555555556,0.2333333333333333,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1
211,0.4444444444444444,0.0,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
212,0.5555555555555556,0.9833333333333332,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
213,0.6666666666666666,0.9833333333333332,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,1
214,0.4444444444444444,0.75,0.3333333333333333,0,0,0,1,0,1,0,0,0,0,0,0,0,1
215,0.5555555555555556,0.45,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1
216,0.4444444444444444,0.7666666666666667,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0
217,0.6666666666666666,0.9,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
218,0.3333333333333333,0.0,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,1,0,0
219,0.6666666666666666,0.9333333333333332,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1
220,0.6666666666666666,0.9333333333333332,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
221,0.6666666666666666,0.9333333333333332,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
222,0.5555555555555556,0.8666666666666667,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,1
223,0.5555555555555556,0.4166666666666667,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0.3333333333333333,0.35,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0
225,1.0,0.8833333333333333,0.6666666666666666,0,0,0,1,0,0,0,0,1,0,0,0,0,1
226,0.4444444444444444,0.35,0.6666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,0
227,0.6666666666666666,0.75,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,1
228,0.5555555555555556,0.3333333333333333,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
229,0.4444444444444444,0.2833333333333333,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,0.6666666666666666,0.9333333333333332,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,1
231,0.5555555555555556,0.15,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
232,0.7777777777777778,0.7666666666666667,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,1
233,0.5555555555555556,0.3666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0
234,0.4444444444444444,0.4333333333333333,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
235,0.5555555555555556,0.8666666666666667,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,1
236,0.5555555555555556,0.35,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
237,0.6666666666666666,0.9,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
238,0.6666666666666666,0.8833333333333333,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
239,0.7777777777777778,0.95,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
240,0.5555555555555556,0.0,0.3333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0
241,0.7777777777777778,0.9666666666666668,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
242,0.4444444444444444,0.7833333333333333,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0
243,0.4444444444444444,0.0,0.3333333333333333,0,1,0,0,0,1,0,0,0,0,0,0,1,0
244,0.5555555555555556,0.5,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,0.6666666666666666,0.8666666666666667,0.6666666666666666,0,0,0,1,0,0,1,0,0,0,0,0,0,1
246,0.6666666666666666,0.6333333333333333,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0
247,0.5555555555555556,0.0,0.6666666666666666,1,0,0,0,0,1,0,0,0,0,0,0,1,0
248,0.5555555555555556,0.0666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1
249,0.6666666666666666,0.8833333333333333,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
250,0.5555555555555556,0.9333333333333332,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0
251,0.2222222222222222,0.2666666666666666,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1
252,0.7777777777777778,0.95,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
253,0.5555555555555556,0.9,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
